"artists","Count"
"Jere Klein, Nickoog Clk, Lucky Brown, El BAI",355
"Fares Sokar - فارس سكر",354
"Wael Jassar",354
"Ravid Plotnik",351
"Seventeen",351
"Ant Wan",350
"Lbenj",350
"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer",350
"Scally Milano, uglystephan",350
"Lil Tecca",349
"Yandar & Yostin, Andy Rivera",349
"King Gnu",348
"Tiara Andini",348
"Benjamin Ingrosso",347
"Big One, Ulises Bueno, Rusherking",347
"Oscar Maydon, Gabito Ballesteros, Chino Pacas",346
"Dollar Prync, Hard Rico",344
"Elley Duhé, Whethan",344
"5MIINUST, Puuluup",340
"M Lisa",339
"Only Monday",339
"Rusherking, Marama",339
"UMI, V",339
"Три дня дождя, MONA",339
"Band Aid",338
"Diljit Dosanjh, Intense, Sultaan",338
"Galena",337
"Mestizo Is Back",337
"Ana Castela",336
"Itay Levi",334
"A$AP Rocky",333
"Paul McCartney",333
"SIMILIVINLIFE, Porsche Boy",333
"bambi, charlie moncler",332
"WeiBird",331
"Metro Boomin, Future, Don Toliver",330
"AP Dhillon",329
"Geolier",329
"KISS OF LIFE",328
"RPT MCK, Trung Trần",327
"Bahaa Sultan",326
"Gilli",326
"Pierre Garnier",326
"daryana",326
"Beéle",325
"Big One, Maria Becerra, Trueno",325
"Creedence Clearwater Revival",325
"Nicki Nicole",325
"Kany García, Carin Leon",324
"Saiko",324
"The La Planta",324
"Xcho",324
"Light",323
"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara",322
"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",322
"sanah",321
"Danny, Avvy Sra, Sagar",318
"W/N",318
"AIGEL",317
"Bacilos",317
"FREEHAND",317
"Light, Trannos",317
"Babasha, Ministerul Manelelor",315
"Cheb Hichem TGV",315
"Ruth B.",315
"RAF Camora, Ski Aggu",314
"Tory Lanez",314
"Baby Lasagna",313
"Fabio Asher",313
"Jador, Manele Mentolate",312
"Rema, Selena Gomez",312
"Kanye West, Dwele",309
"Ke Personajes, Onda Sabanera",309
"NIKI",309
"TJ Monterde",309
"ooes",308
"Mahmood",307
"21 Savage, Travis Scott, Metro Boomin",306
"Diljit Dosanjh",306
"Tzanca Uraganu, Sheik",306
"Agust D",305
"Lida, СЕРЕГА ПИРАТ",305
"Raste",305
"Ahmed Saad",304
"Salastkbron, Diel Paris",304
"YAKARY",304
"Abdul Hannan, Rovalio",303
"Bonapart",303
"Bárbara Bandeira, Dillaz",303
"Cup of Joe, Janine",303
"HUGO, Costi",303
"Hasan Raheem, Umair, Talwiinder",303
"Karim Cristiano",303
"Lola Amour",303
"SMILE BEATS, Valentino GRM, JEYSON",303
"SPITZ",303
"SadSvit, СТРУКТУРА ЩАСТЯ",303
"Ulukmanapo, Bakr",303
"Valentino GRM, SMILE BEATS",303
"Wegz",303
"Wellboy",303
"Yamê",303
"alyona alyona",303
"Alfredo Olivas",302
"Burl Ives",302
"DESH, Young Fly, Azahriah, Lord Panamo",302
"Heuss L'enfoiré, Gazo",302
"Luis Alfonso",302
"Minh Huy",302
"POSITIFF",302
"Peled, Nastia Rod",302
"Tomi, VALMAR",302
"Ulukmanapo",302
"bambi, Young Leosia, PG$, @atutowy",302
"AgroPlay, Ana Castela",301
"IU",301
"PLK",301
"Sofian Medjmedj, Ben Cristovao",301
"Suara Kayu, Feby Putri",301
"Mahmoud El Leithy, Essam Sasa",300
"Snor",300
"tlinh, 2pillz",300
"5MIINUST, nublu, NEXUS",299
"Adie, Janine Berdin",299
"Low G, Thắng",299
"Valentino Merlo, The La Planta",299
"WEAN, tlinh",299
"YAKTAK, KOLA",299
"uniqe, nkeeei, ARTEM SHILOVETS, xxxmanera",299
"DJ MøMø, Kjartan Lauritzen",298
"Furytto",298
"Paul Russell",298
"Pogány Induló, ANUBII$",298
"Ram Sampath, Arijit Singh, Prashant Pandey",298
"Tzanca Uraganu, Andrei G, Ministerul Manelelor",298
"Wolfine, Ñejo",298
"Ivandro, Van Zee",297
"Jul, DYSTINCT",297
"Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya",297
"Reda El Bahrawy, Muslim",297
"Reynmen",297
"Rohony, mdmx",297
"Virgoun, Audy",297
"d4vd",297
"Andrea",295
"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",294
"GREY D, tlinh",294
"Babblarna",293
"Mthandeni SK, Lwah Ndlunkulu",293
"Tony Effe",293
"For Revenge",292
"Muni Long",292
"Niro, ElGrandeToto",292
"Eladio Carrion, Bad Bunny",291
"Grupo Frontera, Maluma",291
"LANDOKMAI",291
"Memphis Cult, Groove Dealers, SPLYXER",291
"Olamide",291
"Lucky Brown, Jere Klein, Mateo on the Beatz",290
"Madihu, Vũ.",290
"Pressure 9X19, Anuel AA, YOVNGCHIMI, CDobleta, Hades66, Luar La L",290
"Costel Biju",289
"Creeds",289
"Mr. Belt & Wezol",289
"Sicario",289
"andrei, DZWS, BEN",289
"Amaru, Gringo Bamba",288
"Kabza De Small, Mthunzi, DJ Maphorisa, Young Stunna, Sizwe Alakine, Umthakathi Kush",287
"Lartiste",287
"Peso Pluma, Tito Double P",287
"Veronica Maggio",287
"Burak Bulut, Ebru Yaşar",286
"Jovani, Karališka Erdvė, Remis Retro",286
"Rokas Yan, Evgenya Redko",286
"S3BZS, Mc Gw, Mc Menor Do Alvorada",286
"Franglish",285
"Mohammed Saeed",285
"Tani Yuuki",285
"The Academy: Segunda Misión, Justin Quiles, Sech, Lenny Tavárez, Dalex, Dímelo Flow, Eladio Carrion, Bryant Myers, Dei V",285
"ALBLAK 52",284
"Cean Jr.",284
"Semicenk, Rast",284
"Dedublüman",283
"Emanuela",283
"FMK, Emilia",283
"Hande Yener",283
"La Única Tropical",283
"Silvester Belt",283
"J Abdiel, iZaak",282
"Kaifi Khalil",282
"NOBITA",282
"TWENTY SIX, Tayson Kryss",282
"Sayian Jimmy, Nysix Music, CamiMusic",281
"DJ JZ, Humberto & Ronaldo, Mc Mininin, DJ LG PROD, Silvanno Salles",280
"Free Finga",280
"Gilli, KESI",280
"TOQUEL, Beyond",280
"The Kid LAROI, Jung Kook, Central Cee",279
"sarah salola",279
"Beton.Hofi, Hundred Sins",278
"HIEUTHUHAI, marzuz",278
"SIRA, Bausa, badchieff",278
"Slimane",278
"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",278
"Dygta, Kamasean",277
"ElGrandeToto, Hamza",277
"INTERWORLD",277
"Lost Frequencies, Tom Odell",277
"Benny Jamz, Gilli",276
"Chico, Qatoshi, 100лиця",276
"Faheem Abdullah, Rauhan Malik",276
"Frenna",275
"Odeya",275
"TOQUEL, LILA, Beyond",275
"Aerozen",274
"Bee",274
"Lamin",274
"YEW",274
"Arcángel",273
"D Gerrard",273
"Kabza De Small, Mthunzi, MaWhoo",272
"MC PH, Borges, WIU, Pedro Lotto, WEY",272
"Jaani, B Praak",271
"Mora, Saiko",270
"Taylor Swift, Florence + The Machine",270
"Ben Cristovao, Sofian Medjmedj",269
"Gareth.T",269
"Pritam, Arijit Singh, Amitabh Bhattacharya",269
"Da LAB, Phương Ly",268
"Luck Ra, La T y La M, Rusherking",268
"Ryan Castro, Feid",268
"มนัสวีร์",268
"Big One, TINI, BM",267
"CoolKid, RHYDER",267
"Dardan, Azet",267
"MC Saci, Complexo dos Hits, DJ Sammer, Mc Pretchako",266
"DJ Stokie, Eemoh",265
"ODUMODUBLVCK, Bloody Civilian, Wale",265
"Saiko, Quevedo, Feid, Mora",265
"Airbag",264
"Medina",264
"KÖFN, Simge",263
"ODUMODUBLVCK",263
"Sebastian Yatra, Manuel Turizo, Beéle",263
"Aashir Wajahat, NAYEL, Nehaal Naseem",262
"Costi",262
"ElGrandeToto, Morad",262
"Junior H, Peso Pluma",262
"LON3R JOHNY, Plutonio",262
"Pommelien Thijs",262
"vtze archive, Mc Ster",262
"Billy Gillies, Hannah Boleyn",261
"Derya Uluğ, Asil Gök",261
"Katteyes, Kidd Voodoo",261
"League of Legends, NewJeans",261
"Käärijä",260
"L.A.B.",259
"NONT TANONT",259
"Calcutta ",258
"Hamza Namira",258
"PUN",258
"TEN",258
"First Anuwat, Saran",257
"Kfir Tsafrir",257
"Manan Bhardwaj, Bhupinder Babbal",257
"TAEYEON",257
"Bernadya",256
"Don Omar, Lucenzo",256
"Manu, Simone Mendes",256
"Ski Aggu, Joost, Otto Waalkes",256
"Werenoi, Damso",256
"Küberünnak & Karmo",255
"Luciano, Omah Lay",255
"Marcus & Martinus",255
"Ness, סטילה",255
"Patrick Brasca",255
"Donnie, Marco Schuitmaker",253
"Jeff Redd",253
"Ameen Khattab",252
"DELLAFUENTE, Morad",252
"Megan Thee Stallion, 千葉雄喜",252
"Phương Ly",252
"SANTA",252
"Kaho Hung",251
"O.lew",251
"PATRi!K, Luigi",251
"Yan Ting",251
"AHTI, HUGO",250
"FLY LO",250
"Kanye West, Pusha T",250
"Singapūras Satīns",250
"Ukendt Kunstner",250
"Big Baby Tape, Aarne",249
"Dhruv",249
"Hanan Ben Ari",249
"Van Morrison",249
"政学Zed-X",249
"FOURTY, Bausa",248
"ODUMODUBLVCK, Black Sherif",248
"alyona alyona, KOLA",248
"pehmoaino",248
"Bassie, Aymos, T-Man SA",247
"Ke Personajes",247
"Lost Frequencies, Calum Scott",247
"RHYDER, CoolKid, BAN",247
"TINI",247
"Kidd Voodoo, Daiko 02",246
"SEVENTEEN",246
"V $ X V PRiNCE, De Lacure",245
"Ayed",244
"Karan Aujla, Ikky, Preston Pablo",244
"Karik, GDucky",244
"Zeamsone",244
"reezy",244
"Alfa",243
"Emilia, Galin",243
"Milo j, Peso Pluma",243
"Vũ., Dear Jane",242
"Chike, Mohbad",241
"Firdhaus, DIOR 大穎",241
"Inkonnu",241
"Mrs. GREEN APPLE, Sonoko Inoue",241
"Donne Maula",240
"Luciano",240
"RACK, Sin Laurent",240
"SNIK",240
"V $ X V PRiNCE",240
"Bnxn",239
"Lazza",239
"MC 張天賦, Panther Chan",239
"Bir, Dhanju, thiarajxtt",238
"Chefin, Mainstreet, LB Único",238
"Donaty, El Baby R",238
"Gracie Abrams",238
